Retailer Code,Retailer Name,Door Code,Door Name,Door Zip Code,Year,Week,UPC,SKU Descreption,POS Units,POS Amount
SEP,SEPHORA CANADA,225946,SEPHORA #504 MISSISSAUGA,L5B 2G6,2018,182018,3605520983979,VR FLBB EDP SPRAY 20 ML,2.0,
SEP,SEPHORA CANADA,224051,SEPHORA #500 YONGE,M5B 2H1,2018,182018,3605520983979,VR FLBB EDP SPRAY 20 ML,1.0,
SEP,SEPHORA CANADA,242672,SEPHORA #868 SOUTH EDMONTON,T6N 1N5,2018,192018,3605520983979,VR FLBB EDP SPRAY 20 ML,1.0,
SEP,SEPHORA CANADA,243107,SEPHORA THUNDER BAY 870,P7B 6B9,2018,192018,3605520983979,VR FLBB EDP SPRAY 20 ML,1.0,
SEP,SEPHORA CANADA,240923,SEPHORA #856 HILLCREST,L4C 5G2,2018,192018,3605520983979,VR FLBB EDP SPRAY 20 ML,1.0,
SEP,SEPHORA CANADA,240963,SEPHORA #596 AVALON,A1B 1W3,2018,192018,3605520983979,VR FLBB EDP SPRAY 20 ML,2.0,
SEP,SEPHORA CANADA,227729,SEPHORA #510 WEST EDM. MALL,T5T 4M2,2018,192018,3605520983979,VR FLBB EDP SPRAY 20 ML,1.0,
SEP,SEPHORA CANADA,241089,SEPHORA DOTCA E-COMMERCE,L6T 5A3,2018,192018,3605520983979,VR FLBB EDP SPRAY 20 ML,14.0,
SEP,SEPHORA CANADA,233278,SEPHORA #540 MAPLEVIEW,L7S 2J8,2018,192018,3605520983979,VR FLBB EDP SPRAY 20 ML,1.0,
SEP,SEPHORA CANADA,236358,SEPHORA #552 BAYSHORE,K2B 8C1,2018,192018,3605520983979,VR FLBB EDP SPRAY 20 ML,1.0,
SEP,SEPHORA CANADA,236514,SEPHORA #560 SASKATOON,S7K 1J9,2018,192018,3605520983979,VR FLBB EDP SPRAY 20 ML,1.0,
SEP,SEPHORA CANADA,236726,SEPHORA #564 KINGSWAY MALL,T5G 3A6,2018,192018,3605520983979,VR FLBB EDP SPRAY 20 ML,1.0,
SEP,SEPHORA CANADA,226529,SEPHORA #506 SCARBOROUGH,M1P 4P5,2018,182018,3605520983979,VR FLBB EDP SPRAY 20 ML,1.0,
SEP,SEPHORA CANADA,227754,SEPHORA #512 MARKET MALL,T3A 0E2,2018,182018,3605520983979,VR FLBB EDP SPRAY 20 ML,2.0,
SEP,SEPHORA CANADA,229842,SEPHORA #522 PTE-CLAIRE,H9R 1C4,2018,182018,3605520983979,VR FLBB EDP SPRAY 20 ML,1.0,
SEP,SEPHORA CANADA,231967,SEPHORA #528 VANCOUVER,V7Y 1G5,2018,182018,3605520983979,VR FLBB EDP SPRAY 20 ML,2.0,
SEP,SEPHORA CANADA,236516,SEPHORA #558 KELOWNA,V1Y 6H2,2018,182018,3605520983979,VR FLBB EDP SPRAY 20 ML,1.0,
SEP,SEPHORA CANADA,236358,SEPHORA #552 BAYSHORE,K2B 8C1,2018,182018,3605520983979,VR FLBB EDP SPRAY 20 ML,1.0,
SEP,SEPHORA CANADA,237001,SEPHORA #550 STE-CATHERINE,H3B 5K4,2018,182018,3605520983979,VR FLBB EDP SPRAY 20 ML,1.0,
SEP,SEPHORA CANADA,236515,SEPHORA #562 CALGARY SOUTH CENTRE,T2J 3V1,2018,182018,3605520983979,VR FLBB EDP SPRAY 20 ML,1.0,
SEP,SEPHORA CANADA,237002,SEPHORA #568 ROCKLAND,H3P 3E9,2018,182018,3605520983979,VR FLBB EDP SPRAY 20 ML,1.0,
SEP,SEPHORA CANADA,237502,SEPHORA #572 OSHAWA,L1J 2K5,2018,182018,3605520983979,VR FLBB EDP SPRAY 20 ML,3.0,
SEP,SEPHORA CANADA,237553,SEPHORA #576 LIMERIDGE MALL,L9A 4X5,2018,182018,3605520983979,VR FLBB EDP SPRAY 20 ML,1.0,
SEP,SEPHORA CANADA,238293,SEPHORA #580 GUILDFORD TOWNE CENTRE,V3R 1N3,2018,182018,3605520983979,VR FLBB EDP SPRAY 20 ML,-1.0,
SEP,SEPHORA CANADA,238444,SEPHORA #582 THE CORE,T2P 2Y9,2018,182018,3605520983979,VR FLBB EDP SPRAY 20 ML,1.0,
SEP,SEPHORA CANADA,238745,SEPHORA # 586 ANJOU,H1M 1W9,2018,182018,3605520983979,VR FLBB EDP SPRAY 20 ML,1.0,
SEP,SEPHORA CANADA,238817,SEPHORA # 588 CATARAQUI,K7M 7H4,2018,182018,3605520983979,VR FLBB EDP SPRAY 20 ML,-1.0,
SEP,SEPHORA CANADA,240774,SEPHORA HIGHSTREET #848,V2T 0C5,2018,182018,3605520983979,VR FLBB EDP SPRAY 20 ML,-1.0,
SEP,SEPHORA CANADA,240252,SEPHORA #842 PEN CENTRE,L2T 2K9,2018,182018,3605520983979,VR FLBB EDP SPRAY 20 ML,1.0,
SEP,SEPHORA CANADA,240963,SEPHORA #596 AVALON,A1B 1W3,2018,182018,3605520983979,VR FLBB EDP SPRAY 20 ML,2.0,
SEP,SEPHORA CANADA,240149,SEPHORA #846 ROBSON,V6Z 2V7,2018,182018,3605520983979,VR FLBB EDP SPRAY 20 ML,1.0,
SEP,SEPHORA CANADA,241089,SEPHORA DOTCA E-COMMERCE,L6T 5A3,2018,182018,3605520983979,VR FLBB EDP SPRAY 20 ML,11.0,
